strategy,symbol,mean_abs_weight,max_abs_weight,active_day_share_over_1pct
Prediction-only MLP/RF dynamic VIX,XLU,0.023152816293872447,0.16534409547402448,0.3684692942254812
Prediction-only MLP/RF dynamic VIX,MSFT,0.021321923786740613,0.06708198592622391,0.768102658111824
Prediction-only MLP/RF dynamic VIX,GLD,0.02033152275488403,0.08302629930680154,0.5737855178735105
Prediction-only MLP/RF dynamic VIX,QQQ,0.02027840592561861,0.04820486747387749,0.696608615948671
Prediction-only MLP/RF dynamic VIX,SPY,0.01594137119474495,0.040465327228387506,0.614115490375802
Prediction-only MLP/RF dynamic VIX,XLF,0.01508445553503382,0.07300572161255331,0.5316223648029331
Prediction-only MLP/RF dynamic VIX,XLP,0.011386074603747553,0.07315189947179002,0.34188817598533455
Prediction-only MLP/RF dynamic VIX,DBA,0.0102058088430828,0.06860230509861429,0.29605866177818513
Prediction-only MLP/RF dynamic VIX,XLV,0.00987810756254617,0.07500284293407561,0.23281393217231897
Prediction-only MLP/RF dynamic VIX,XLI,0.009263347790913996,0.05277308607286414,0.384967919340055
Prediction-only MLP/RF dynamic VIX,VWO,0.008345560061502758,0.049362308354897556,0.22089825847846012
Prediction-only MLP/RF dynamic VIX,EFA,0.007085541737475574,0.04711544581903653,0.21081576535288726
Prediction-only MLP/RF dynamic VIX,VNQ,0.00664163812695483,0.03387677079583243,0.21173235563703025
Prediction-only MLP/RF dynamic VIX,IWM,0.0025059156162944986,0.013971731486582296,0.03758020164986251
Prediction-only MLP/RF dynamic VIX,TLT,0.0,0.0,0.0
Prediction-only MLP/RF dynamic VIX,AGG,0.0,0.0,0.0
SPY buy-and-hold,SPY,0.998166819431714,1.0,0.998166819431714
SPY buy-and-hold,TLT,0.0,0.0,0.0
SPY buy-and-hold,XLU,0.0,0.0,0.0
SPY buy-and-hold,XLP,0.0,0.0,0.0
SPY buy-and-hold,XLI,0.0,0.0,0.0
SPY buy-and-hold,XLF,0.0,0.0,0.0
SPY buy-and-hold,XLE,0.0,0.0,0.0
SPY buy-and-hold,VWO,0.0,0.0,0.0
SPY buy-and-hold,VNQ,0.0,0.0,0.0
SPY buy-and-hold,UUP,0.0,0.0,0.0
SPY buy-and-hold,AGG,0.0,0.0,0.0
SPY buy-and-hold,ASML,0.0,0.0,0.0
SPY buy-and-hold,QQQ,0.0,0.0,0.0
SPY buy-and-hold,NVDA,0.0,0.0,0.0
SPY buy-and-hold,MSFT,0.0,0.0,0.0
SPY buy-and-hold,META,0.0,0.0,0.0
SPY buy-and-hold,IWM,0.0,0.0,0.0
SPY buy-and-hold,GLD,0.0,0.0,0.0
SPY buy-and-hold,EFA,0.0,0.0,0.0
SPY buy-and-hold,DBA,0.0,0.0,0.0
SPY buy-and-hold,XLV,0.0,0.0,0.0
60/40 SPY/AGG,SPY,0.5989000916590284,0.6,0.998166819431714
60/40 SPY/AGG,AGG,0.3992667277726855,0.4,0.998166819431714
60/40 SPY/AGG,DBA,0.0,0.0,0.0
60/40 SPY/AGG,UUP,0.0,0.0,0.0
60/40 SPY/AGG,XLU,0.0,0.0,0.0
60/40 SPY/AGG,XLP,0.0,0.0,0.0
60/40 SPY/AGG,XLI,0.0,0.0,0.0
60/40 SPY/AGG,XLF,0.0,0.0,0.0
60/40 SPY/AGG,XLE,0.0,0.0,0.0
60/40 SPY/AGG,VWO,0.0,0.0,0.0
60/40 SPY/AGG,VNQ,0.0,0.0,0.0
60/40 SPY/AGG,TLT,0.0,0.0,0.0
60/40 SPY/AGG,EFA,0.0,0.0,0.0
60/40 SPY/AGG,ASML,0.0,0.0,0.0
60/40 SPY/AGG,QQQ,0.0,0.0,0.0
60/40 SPY/AGG,NVDA,0.0,0.0,0.0
60/40 SPY/AGG,MSFT,0.0,0.0,0.0
60/40 SPY/AGG,META,0.0,0.0,0.0
60/40 SPY/AGG,IWM,0.0,0.0,0.0
60/40 SPY/AGG,GLD,0.0,0.0,0.0
60/40 SPY/AGG,XLV,0.0,0.0,0.0
Equal-weight universe,AGG,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,TLT,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,XLU,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,XLP,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,XLI,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,XLF,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,XLE,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,VWO,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,VNQ,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,UUP,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,SPY,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,ASML,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,QQQ,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,NVDA,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,MSFT,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,META,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,IWM,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,GLD,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,EFA,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,DBA,0.0475317533062721,0.047619047619047616,0.998166819431714
Equal-weight universe,XLV,0.0475317533062721,0.047619047619047616,0.998166819431714
Defensive basket buy-and-hold,GLD,0.32416497761014806,0.5016795458015965,0.998166819431714
Defensive basket buy-and-hold,UUP,0.27609560145983875,0.3286368016725313,0.998166819431714
Defensive basket buy-and-hold,AGG,0.22259968207828704,0.25037779923288783,0.998166819431714
Defensive basket buy-and-hold,TLT,0.1753065582834395,0.25173476199743405,0.998166819431714
Defensive basket buy-and-hold,XLU,0.0,0.0,0.0
Defensive basket buy-and-hold,XLP,0.0,0.0,0.0
Defensive basket buy-and-hold,XLI,0.0,0.0,0.0
Defensive basket buy-and-hold,XLF,0.0,0.0,0.0
Defensive basket buy-and-hold,XLE,0.0,0.0,0.0
Defensive basket buy-and-hold,VWO,0.0,0.0,0.0
Defensive basket buy-and-hold,VNQ,0.0,0.0,0.0
Defensive basket buy-and-hold,SPY,0.0,0.0,0.0
Defensive basket buy-and-hold,ASML,0.0,0.0,0.0
Defensive basket buy-and-hold,QQQ,0.0,0.0,0.0
Defensive basket buy-and-hold,NVDA,0.0,0.0,0.0
Defensive basket buy-and-hold,MSFT,0.0,0.0,0.0
Defensive basket buy-and-hold,META,0.0,0.0,0.0
Defensive basket buy-and-hold,IWM,0.0,0.0,0.0
Defensive basket buy-and-hold,EFA,0.0,0.0,0.0
Defensive basket buy-and-hold,DBA,0.0,0.0,0.0
Defensive basket buy-and-hold,XLV,0.0,0.0,0.0
